Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.005889892578125,0.0407824473004318
192,0.02252197265625,0.0349385621484342
194,0.030029296875,0.0330303408697027
196,0.029266357421875,0.0381734771204923
198,-0.0198822021484375,0.0415240070809947
200,0.037872314453125,0.0421621741111775
202,0.019439697265625,0.0448793956760783
204,0.036041259765625,0.0556554955030274
206,0.023284912109375,0.0600089511552235
208,0.036651611328125,0.0434981590846095
210,0.0494384765625,0.0538439404378524
212,0.0225372314453125,0.0417073369219973
214,-0.0187530517578125,0.0521158752504935
216,0.0488739013671875,0.0516748302942303
218,0.023101806640625,0.0627436656414415
220,-0.003387451171875,0.0566069404148025
222,0.045745849609375,0.0487890468624875
224,0.079345703125,0.057143511087218
226,0.0198974609375,0.05078125
228,-0.0177154541015625,0.0418898644326703
230,0.0636444091796875,0.0542673593337883
232,-0.0022125244140625,0.0467119560277398
234,0.004638671875,0.0545478126709724
236,0.0524444580078125,0.0506307867063114
238,0.0259552001953125,0.0724501444960602
240,-0.0109405517578125,0.0625
242,0.0327606201171875,0.0450490726354328
244,-0.038665771484375,0.0593698599748854
246,-0.0273895263671875,0.0506307867063114
248,0.055908203125,0.0382732772309872
250,-0.001220703125,0.0551044374205699
252,0.0314483642578125,0.0516748302942303
254,0.0201416015625,0.0810017240364364
256,0.0728759765625,0.0660606817394053
258,-0.01611328125,0.0546875
260,0.0278472900390625,0.0556554955030274
262,0.061248779296875,0.0538439404378524
264,0.0101470947265625,0.0486324203046435
266,0.0157928466796875,0.0551044374205699
268,-0.0156097412109375,0.0500244081049441
270,0.0189056396484375,0.0385711282385381
272,0.019561767578125,0.046875
274,0.060699462890625,0.0575426557135009
276,0.0673980712890625,0.0427908248050911
278,0.0115814208984375,0.0355876311685324
280,-0.0024261474609375,0.0316140899535911
282,0.0345458984375,0.0398360899499436
284,0.0404205322265625,0.0397402147448746
286,0.0046844482421875,0.0313718328207207
288,0.0139312744140625,0.0208536684609987
290,0.00323486328125,0.0137761093551425
292,0.002349853515625,0.00995902248748591
294,0.0055389404296875,0.00592009553368269
296,0.017669677734375,0.00260098580965119
298,0.0269317626953125,0.000843522641667801
