Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.0050201416015625,0.0372632500553494
192,-0.01324462890625,0.0447090747744516
194,0.0178680419921875,0.0320931186038183
196,0.022979736328125,0.0394511911654769
198,0.00360107421875,0.0522620631260143
200,0.0188140869140625,0.0447090747744516
202,-0.00494384765625,0.0370579413300982
204,0.018341064453125,0.055242717280199
206,-0.004425048828125,0.0667500292602932
208,-0.027679443359375,0.0724501444960602
210,-0.0169219970703125,0.0457214840262485
212,0.0023345947265625,0.05078125
214,0.0012359619140625,0.0678833874882139
216,0.0109405517578125,0.0662912607362388
218,0.0055999755859375,0.049871661464077
220,0.009246826171875,0.0555182437638746
222,-0.0231475830078125,0.0447090747744516
224,0.0165557861328125,0.0452181129015243
226,0.0242462158203125,0.0494105884401309
228,0.0288848876953125,0.05032851065127
230,0.0123443603515625,0.0553806518701478
232,0.007965087890625,0.0450490726354328
234,-0.0314788818359375,0.0592412144066527
236,0.013092041015625,0.0539854490667393
238,-0.04595947265625,0.074321474962658
240,0.027374267578125,0.0545478126709724
242,0.00250244140625,0.0625
244,-0.0371856689453125,0.0687766283658555
246,-0.0094757080078125,0.0732877462472411
248,-0.01617431640625,0.0602626899239903
250,0.0041046142578125,0.0574099158464807
252,-0.0311737060546875,0.0562011506638209
254,0.010345458984375,0.0739097184704082
256,-0.0158538818359375,0.0475215822679548
258,-0.0209197998046875,0.0548268314360086
260,0.00665283203125,0.0615156865157173
262,-0.00128173828125,0.055792409597991
264,-0.0046844482421875,0.0538439404378524
266,0.0034332275390625,0.0598816785810777
268,-0.0146942138671875,0.0556554955030274
270,0.0085601806640625,0.0501766897604107
272,-0.006744384765625,0.0480008036228301
274,0.01617431640625,0.0361196132986463
276,0.00946044921875,0.0463841487774919
278,-0.032989501953125,0.0336028330743853
280,0.0473480224609375,0.0358013726168425
282,-0.04150390625,0.0303206537036329
284,-0.0234222412109375,0.033941693744107
286,-0.009735107421875,0.0274829048427154
288,-0.0111541748046875,0.021261270563552
290,-0.0239715576171875,0.0159272523733399
292,-0.029510498046875,0.011346630897092
294,-0.0225067138671875,0.00592009553368269
296,-0.0032958984375,0.00216309144856804
298,0.0078125,0.000899103995523452
300,0.0122222900390625,0.000569298037908253
302,0.01416015625,0.000428334620593817
304,0.0157012939453125,0.000304411885730896
306,0.0171356201171875,0.000318612869534624
308,0.0173492431640625,0.000311966679386305
310,0.018218994140625,0.000256238641719767
312,0.0184326171875,0.000259847814421484
314,0.0192718505859375,0.000247925976703978
316,0.0196380615234375,0.000229896837971792
318,0.0207977294921875,0.000250727489092331
320,0.0211029052734375,0.000253498042691592
322,0.021240234375,0.000295878897547383
