Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.0276641845703125,0.0334891175771138
192,0.0226898193359375,0.0330303408697027
194,0.0425262451171875,0.0346094631770886
196,0.010101318359375,0.0377716398551049
198,0.0425262451171875,0.0450490726354328
200,0.0419921875,0.0476818578739598
202,0.043487548828125,0.0538439404378524
204,-0.00213623046875,0.0528427705408933
206,0.0393524169921875,0.0467119560277398
208,0.0280303955078125,0.0452181129015243
210,0.0349578857421875,0.0544077667077505
212,0.048919677734375,0.0445381025429351
214,0.077362060546875,0.0515269763995036
216,0.0069122314453125,0.0592412144066527
218,0.036773681640625,0.0627436656414415
220,0.0178985595703125,0.05078125
222,0.0241241455078125,0.05078125
224,0.04736328125,0.0475215822679548
226,-0.0114288330078125,0.0563367386791248
228,0.02239990234375,0.0566069404148025
230,0.0458221435546875,0.0433224082281618
232,0.021514892578125,0.0495647560173809
234,0.077392578125,0.0597541349249155
236,-0.010101318359375,0.0651302031270823
238,0.0648956298828125,0.05032851065127
240,0.06396484375,0.0512299884711094
242,0.027557373046875,0.0753410215702575
244,0.0700836181640625,0.0537020589252638
246,0.0706634521484375,0.0515269763995036
248,0.0613861083984375,0.0576750900790367
250,0.06536865234375,0.0722392265972927
252,0.0396270751953125,0.0545478126709724
254,0.063323974609375,0.0669782351542275
256,0.106002807617187,0.0525532189338817
258,0.0965576171875,0.0665210404919
260,0.019195556640625,0.0576750900790367
262,0.0773773193359375,0.0570098418723688
264,0.095001220703125,0.0470374788234074
266,0.0595703125,0.0476818578739598
268,0.129745483398437,0.0789023823309537
270,0.15936279296875,0.0568758585100041
272,0.209976196289062,0.0747309627723008
274,0.151275634765625,0.05032851065127
276,0.23284912109375,0.0555182437638746
278,0.27581787109375,0.0625
280,0.276077270507812,0.0534171653561615
282,0.251495361328125,0.0512299884711094
284,0.251556396484375,0.048317644050207
286,0.32513427734375,0.0403120457823248
288,0.412918090820313,0.0372632500553494
290,0.530868530273438,0.032211762700138
292,0.507598876953125,0.0343883141829278
294,0.613998413085938,0.0186316250276747
296,0.674423217773438,0.00743727842369522
298,0.622451782226563,0.00271314828746251
300,0.550201416015625,0.00126565193806932
302,0.48040771484375,0.000878142979122202
304,0.413314819335938,0.000608823771461792
306,0.355453491210937,0.000411704637549806
308,0.306045532226562,0.000281358168252346
310,0.265945434570312,0.00037871318499728
312,0.232955932617187,0.000300563287408328
314,0.207000732421875,0.000264289979182263
316,0.1866455078125,0.000324406305320271
318,0.170333862304687,0.000296664765857293
320,0.15814208984375,0.000325838569703104
322,0.148483276367187,0.000271246167520617
324,0.141677856445312,0.00027550460945538
326,0.1370849609375,0.000325838569703104
328,0.133453369140625,0.000279698223569082
330,0.131179809570312,0.000283008376937735
332,0.127120971679687,0.000333606126542289
334,0.122634887695312,0.000353266507043159
336,0.116470336914062,0.000345266983001244
338,0.109756469726562,0.00030593776940557
340,0.102890014648437,0.000321522636500633
342,0.0966033935546875,0.000299787638921944
344,0.09051513671875,0.000341196895980803
346,0.0860137939453125,0.000368745299487139
348,0.0808258056640625,0.000317147975018715
350,0.0760650634765625,0.000346613058215349
352,0.0713348388671875,0.000290318261572883
354,0.0673675537109375,0.000296664765857293
356,0.0643157958984375,0.00028382988338834
358,0.0626678466796875,0.000285465804044643
360,0.0620880126953125,0.00030669786441409
362,0.0613555908203125,0.000277189668649062
364,0.0578155517578125,0.000295090936368007
366,0.0580291748046875,0.00043373627940527
368,0.056732177734375,0.000289515166641392
370,0.05340576171875,0.000272957516784642
372,0.0503997802734375,0.00027550460945538
374,0.0469970703125,0.000302878314838855
376,0.043853759765625,0.00028709240298808
378,0.0417633056640625,0.000264289979182263
380,0.0402984619140625,0.000269523952219478
382,0.0395355224609375,0.000266046078096965
384,0.0389404296875,0.000258049538044552
386,0.038116455078125,0.000271246167520617
388,0.03717041015625,0.000269523952219478
390,0.0372772216796875,0.000302108610126088
392,0.0349578857421875,0.00027550460945538
394,0.0347900390625,0.000253498042691592
396,0.035064697265625,0.000262522133393635
398,0.0338134765625,0.000269523952219478
400,0.0349578857421875,0.000256238641719767
402,0.0357666015625,0.000266919794991087
404,0.0356292724609375,0.000281358168252346
406,0.0361785888671875,0.000288709837775032
408,0.037567138671875,0.000310470427694333
410,0.0388336181640625,0.00034051381842684
412,0.0389862060546875,0.000322245972930037
414,0.040679931640625,0.000292714326374067
416,0.0429840087890625,0.000322245972930037
418,0.044952392578125,0.0002919178233293
420,0.0470733642578125,0.000282184478895675
422,0.048309326171875,0.000299009978367087
424,0.0526275634765625,0.000272957516784642
426,0.0574951171875,0.000337077667760842
428,0.060760498046875,0.000319342796881963
430,0.0634918212890625,0.000279698223569082
432,0.0688018798828125,0.0003322073525555
434,0.0714111328125,0.000292714326374067
436,0.076171875,0.000317881266113276
438,0.080474853515625,0.000286280258778286
440,0.0859375,0.000300563287408328
442,0.09210205078125,0.000272103187562973
444,0.0999755859375,0.000253498042691592
446,0.110977172851562,0.000264289979182263
448,0.122695922851562,0.000294300865508818
450,0.135726928710937,0.000276348423405073
452,0.14947509765625,0.000314197697173676
454,0.162200927734375,0.000302108610126088
456,0.173065185546875,0.000314937857674412
458,0.180496215820312,0.000242225767004204
460,0.188766479492187,0.000271246167520617
462,0.195297241210937,0.000322967689338939
464,0.199951171875,0.000264289979182263
466,0.208450317382812,0.000258950237250933
468,0.218963623046875,0.000325838569703104
470,0.234939575195312,0.000409436275176964
472,0.251754760742187,0.000354582215534126
474,0.273330688476562,0.000376245971860899
476,0.300186157226562,0.000372514514640311
478,0.331344604492187,0.000359796939775134
480,0.366165161132812,0.000361088853948951
482,0.397430419921875,0.000393191489463047
484,0.420181274414063,0.000426154786491972
486,0.44549560546875,0.000259847814421484
488,0.457138061523438,0.000417321604345012
490,0.4696044921875,0.00042286396669162
492,0.469619750976563,0.000440130770930663
494,0.463287353515625,0.000472776287378835
496,0.4512939453125,0.000490184887823761
498,0.441680908203125,0.00052504426678727
500,0.436767578125,0.000479621388107352
502,0.434097290039063,0.000493970155524861
504,0.438995361328125,0.000516099076089104
506,0.451614379882813,0.000556056737008319
508,0.471527099609375,0.000585428652748135
510,0.500747680664063,0.000625424241086401
512,0.536026000976563,0.00068102763685368
514,0.577880859375,0.000701240557438724
516,0.6199951171875,0.000814310550788961
518,0.6583251953125,0.00109183006713857
520,0.686813354492188,0.000858840776334857
522,0.699752807617188,0.00103939125768594
524,0.69781494140625,0.00122982432126525
526,0.679473876953125,0.00106418431238786
528,0.647872924804688,0.00104296920719208
530,0.606094360351563,0.000955351308746248
532,0.5543212890625,0.000987940311049722
534,0.503204345703125,0.000722177707897902
536,0.448822021484375,0.000750012556606721
538,0.393020629882812,0.000767200017698763
540,0.344314575195312,0.000737490598974278
542,0.297271728515625,0.000722177707897902
544,0.256195068359375,0.000667212253084578
546,0.218154907226562,0.000701240557438724
548,0.186691284179687,0.000601126574816657
550,0.15960693359375,0.00072475232464831
552,0.134628295898437,0.000613395728828179
554,0.115280151367187,0.000648812610640543
556,0.098358154296875,0.000685117929707143
558,0.0846710205078125,0.000668606637579549
560,0.0721282958984375,0.000582238282114835
562,0.063079833984375,0.000585428652748135
564,0.05487060546875,0.000620940855388666
566,0.044219970703125,0.000506996085383183
568,0.034942626953125,0.000341878608740358
570,0.027587890625,0.000259847814421484
572,0.0210723876953125,0.000215791864375777
574,0.016998291015625,0.000225809457198315
576,0.015899658203125,0.000208660802172506
578,0.0157318115234375,0.000186257257320155
580,0.0154266357421875,0.000181188081162078
582,0.017578125,0.000191800004424691
584,0.0125274658203125,0.000229896837971792
586,0.0111541748046875,0.000229896837971792
588,0.009521484375,0.00018750313915168
590,0.01318359375,0.000276348423405073
592,0.013946533203125,0.000239324754964571
594,0.0162200927734375,0.00018935659249864
596,0.01849365234375,0.000214710194083714
598,0.0171661376953125,0.000214710194083714
600,0.018035888671875,0.00021253033870215
602,0.0184478759765625,0.000197776510571529
604,0.0185546875,0.000255328377238182
606,0.0234222412109375,0.000465830612868461
608,0.017303466796875,0.000523267462142403
610,0.018524169921875,0.0003322073525555
612,0.018646240234375,0.000350620278719362
614,0.018707275390625,0.000325838569703104
616,0.01995849609375,0.000401396070494565
618,0.0199737548828125,0.000426154786491972
620,0.0200042724609375,0.000395553021143058
622,0.017486572265625,0.000403709611673674
624,0.0175323486328125,0.000431583728751555
626,0.0177459716796875,0.000547618360746044
628,0.0176544189453125,0.000570931608089286
630,0.016632080078125,0.000613395728828179
632,0.01763916015625,0.000764768315804545
634,0.017242431640625,0.00080279214098913
636,0.0148468017578125,0.000759881567260055
638,0.0158843994140625,0.000812019939920048
640,0.017333984375,0.00108498467008247
642,0.017730712890625,0.00118665906342917
644,0.016876220703125,0.00118979423154406
646,0.0165557861328125,0.0011287379155827
648,0.015472412109375,0.000894951068030712
650,0.01593017578125,0.000939624287008096
652,0.012481689453125,0.000757426369994559
654,0.006591796875,0.000949484203253421
656,-0.08740234375,0.000781631376639752
658,0.0168914794921875,0.000717000740018965
